Student ID,Student Name,Branch,Phone Number
EN21215001,Alice Smith,CSE,7020454824
EN21215002,Bob Jones,IT,555-0102
EN21215003,Charlie Brown,CSE,555-0103
EN21215004,Diana Prince,IT,555-0104
EN21215005,Eve Davis,CSE,555-0105
EN21215006,Frank Wright,IT,555-0106
EN21215007,Grace Lee,CSE,555-0107
EN21215008,Henry Adams,IT,555-0108
EN21215009,Ivy Clark,CSE,555-0109
EN21215010,Jack Hill,IT,555-0110
EN21215011,Kathy Johnson,CSE,555-0111
EN21215012,Louis Martinez,IT,555-0112
EN21215013,Mia Taylor,CSE,555-0113
EN21215014,Nathan Wilson,IT,555-0114
EN21215015,Olivia Scott,CSE,555-0115
EN21215016,Paul Harris,IT,555-0116
EN21215017,Quinn Lewis,CSE,555-0117
EN21215018,Rachel Walker,IT,555-0118
EN21215019,Sam Robinson,CSE,555-0119
EN21215020,Tina Moore,IT,555-0120
EN21215021,Ursula Thompson,CSE,555-0121
EN21215022,Victor White,IT,555-0122
EN21215023,Wendy King,CSE,555-0123
EN21215024,Xander Allen,IT,555-0124
